,,,HEQ ?,Return Headphone EQ Status,PSHEQ ?<CR>,,,,,,
,,,DRC AUTO,Dynamic Compression direct change,PSDRC AUTO<CR>,<-,,,,,
,,,DRC LOW ,,PSDRC LOW<CR>,<-,,,,,
,,,DRC MID,,PSDRC MID<CR>,<-,,,,,
,,,DRC HI,,PSDRC HI<CR>,<-,,,,,
,,,DRC OFF,,PSDRC OFF<CR>,<-,,,,,
,,,DRC ?,Return PSDRC Status,PSDRC ?<CR>,,,,,,
,,,DIC UP,"Dialog Control UP/DOWN , direct change to **dB",PSDIC UP<CR>,PSDIC 03<CR>,,,,,
,,,DIC DOWN,"**:00 to 99 by ASCII , 00=0",PSDIC DOWN<CR>,PSDIC 03<CR>,,,,,
,,,DIC **,---AVR can be operated from 0 to 6,PSDIC 03<CR>,<-,,,,,
,,,DIC ?,Return PSDIC Status,PSDIC ?<CR>,,,,,,
,,,LFE UP,"LFE UP/DOWN , direct change to **dB",PSLEE UP<CR>,PSLFE 10<CR>,,,,,
,,,LFE DOWN,"**:00 to 99 by ASCII , 00=0dB, 10=-10dB",PSLFE DOWN<CR>,PSLFE 10<CR>,,,,,
,,,LFE **,---AVR can be operated from 0 to -10,PSLFE 10<CR>,<-,,,,,
,,,LFE ?,Return PSLFE Status,PSLFE ?<CR>,,,,,,
,,,EFF UP,EFFECT LEVEL direct change to **dB,PSEFF UP<CR>,PSEFF 10<CR>,,,,,
,,,EFF DOWN,"**:00 to 99 by ASCII , 00=0dB, 10=10dB",PSEFF DOWN<CR>,PSEFF 10<CR>,,,,,
,,,EFF **,---AVR can be operated from 1 to 15,PSEFF 10<CR>,<-,,,,,
,,,EFF ?,Return PSEFF Status,PSEFF ?<CR>,"ex1（WIDE SCREEN mode)
PSEFF ON<CR>
PSEFF 10<CR>
ex2（except WIDE SCREEN mode)
PSEFF 10<CR>",,,,,
,,,DEL UP,"DELAY UP/DOWN , direct change to ***dB",PSDEL UP<CR>,PSDEL 000<CR>,,,,,
,,,DEL DOWN,"***:000 to 999 by ASCII , 000=0ms, 300=300ms",PSDEL DOWN<CR>,PSDEL 000<CR>,,,,,
,,,DEL ***,---AVR can be operated from 0 to 300,PSDEL 000<CR>,<-,,,,,
,,,,0-60ms:3ms/Step 　Over 60ms:10ms/Step,,,,,,,
,,,DEL ?,Return PSDEL Status,PSDEL ?<CR>,,,,,,
,,,CES ON,CENTER SPREAD ON/OFF ,PSCES ON<CR>,<-,,,,,
,,,CES OFF,,PSCES OFF<CR>,<-,,,,,
,,,CES ?,Return PSCES Status,PSCES ?<CR>,,,,,,
,,,NEURAL ON,Neural:X ON/OFF,PSNEURAL ON<CR>,<-,,,,,
,,,NEURAL OFF,,PSNEURAL OFF<CR>,<-,,,,,
,,,NEURAL ?,Return PSNEURAL Status,PSNEURAL ?<CR>,,,,,,
,,,SWR ON,SW ON/OFF,PSSWR ON<CR>,<-,,,,,
,,,SWR OFF,"※DIRECT,STEREO(2ch) mode ",PSSWR OFF<CR>,<-,,,,,
,,,SWR ? ,Return PSSWR Status,PSSWR ?<CR>,,,,,,
,,,RSZ S,ROOM SIZE direct change,PSRSZ S<CR>,<-,,,,,
,,,RSZ MS,,PSRSZ MS<CR>,<-,,,,,
,,,RSZ M,,PSRSZ M<CR>,<-,,,,,
,,,RSZ ML,,PSRSZ ML<CR>,<-,,,,,
,,,RSZ L,,PSRSZ L<CR>,<-,,,,,
,,,RSZ ?,Return PSRSZ Status,PSRSZ ?<CR> ,,,,,,
,,,DELAY UP,"AUDIO DELAY UP/DOWN , direct change to ***dB",PSDELAY UP<CR>,PSDELAY 200<CR>,,,,,
,,,DELAY DOWN,"***:000 to 999 by ASCII , 000=0ms, 200=200ms",PSDELAY DOWN<CR>,PSDELAY 200<CR>,,,,,
,,,DELAY ***,---AVR can be operated from 0 to 500 (FY16)　,PSDELAY 200<CR>,<-,,,,,
,,,DELAY?,Return PSDELAY Status,PSDELAY ?<CR> ,,,,,,
,,,RSTR OFF,AUDIO RESTORER direct change,PSRSTR OFF<CR>,<-,,,,,
,,,RSTR LOW,RSTR LOW=MODE3,PSRSTR LOW<CR>,<-,,,,,
,,,RSTR MED,RSTR MID=MODE2,PSRSTR MED<CR>,<-,,,,,
,,,RSTR HI,RSTR HI=MODE1,PSRSTR HI<CR>,<-,,,,,
,,,RSTR ?,Return PSRSTR Status,PSRSTR ?<CR>,,,,,,
ZONE2 Control,,Z2,SOURCE,ZONE2 mode cancel （ZONE2 source is same as MAIN ZONE),Z2SOURCE<CR>,<-,,,,,
,,,TUNER,,Z2TUNER<CR>,<-,,,,,
,,,DVD,"*X1300,S720:DVD/Blu-ray is selected",Z2DVD<CR>,<-,,,,,
,,,BD,,Z2BD<CR>,<-,,,,,
,,,TV,,Z2TV<CR>,<-,,,,,
,,,SAT/CBL,,Z2SAT/CBL<CR>,<-,,,,,
,,,MPLAY,,Z2MPLAY<CR>,<-,,,,,
,,,GAME,,Z2GAME<CR>,<-,,,,,
,,,NET,* 2016 AVR: Online Music is selected,Z2NET<CR>,<-,,,,,
,,,PANDORA,(North America model Only),Z2PANDORA<CR>,<-,,,,,
,,,SIRIUSXM,(North America model Only),Z2SIRIUSXM<CR>,<-,,,,,
,,,IRADIO,,Z2IRADIO<CR>,<-,,,,,
,,,SERVER,,Z2SERVER<CR>,<-,,,,,
,,,FAVORITES,,Z2FAVORITES<CR>,<-,,,,,
,,,AUX1,"*X1300,S720:AUX , Other:AUX1 is selected",Z2AUX1<CR>,<-,,,,,
,,,BT,---Bluetooth,Z2BT<CR>,<-,,,,,
,,,USB/IPOD,,Z2USB/IPOD<CR>,<-,,,,,
,,,USB,Select INPUT source iPod/USB and Start Playback,Z2USB<CR>,<-,,,,,
,,,IPD,Select INPUT source iPod/USB and iPod DIRECT Start Playback,Z2IPD<CR>,<-,,,,,
,,,IRP,Select INPUT source Online Music and iRadio Recent Play,Z2IRP<CR>,<-,,,,,
,,,FVP,Select INPUT source Online Music and Favorites Play,Z2FVP<CR>,<-,,,,,
,,,QUICK1,Z2 QUICK SELECT 1-5 MODE SELECT,Z2QUICK1<CR>,<-,,,,,
,,,QUICK2,,Z2QUICK2<CR>,<-,,,,,
,,,QUICK3,,Z2QUICK3<CR>,<-,,,,,
,,,QUICK4,,Z2QUICK4<CR>,<-,,,,,
,,,QUICK5,,Z2QUICK5<CR>,<-,,,,,
,,,-,,-,Z2QUICK0<CR>,,,,,
,,,QUICK1 MEMORY　,Z2 QUICK SELECT 1-5 MODE MEMORY,Z2QUICK1 MEMORY<CR>,<-,,,,,
,,,QUICK2 MEMORY,,Z2QUICK2 MEMORY<CR>,<-,,,,,
,,,QUICK3 MEMORY,,Z2QUICK3 MEMORY<CR>,<-,,,,,
,,,QUCIK4 MEMORY,,Z2QUICK4 MEMORY<CR>,<-,,,,,
